CHANNEL,FROM_QUARTER,TO_QUARTER,FROM_GROUP,TO_GROUP,ETF_COUNT
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,LOW,LOW,14
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,LOW,MIDDLE,3
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,LOW,HIGH,1
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,MIDDLE,LOW,4
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,MIDDLE,MIDDLE,9
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,MIDDLE,HIGH,5
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,HIGH,LOW,0
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,HIGH,MIDDLE,6
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,HIGH,HIGH,12
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,LOW,LOW,16
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,LOW,MIDDLE,3
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,LOW,HIGH,0
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,MIDDLE,LOW,3
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,MIDDLE,MIDDLE,14
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,MIDDLE,HIGH,1
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,HIGH,LOW,0
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,HIGH,MIDDLE,1
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,HIGH,HIGH,18
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,LOW,LOW,13
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,LOW,MIDDLE,5
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,LOW,HIGH,1
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,MIDDLE,LOW,5
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,MIDDLE,MIDDLE,10
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,MIDDLE,HIGH,3
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,HIGH,LOW,1
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,HIGH,MIDDLE,3
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,HIGH,HIGH,15
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,LOW,LOW,15
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,LOW,MIDDLE,4
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,LOW,HIGH,0
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,MIDDLE,LOW,4
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,MIDDLE,MIDDLE,11
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,MIDDLE,HIGH,3
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,HIGH,LOW,0
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,HIGH,MIDDLE,3
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,HIGH,HIGH,16
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,LOW,15
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,MIDDLE,4
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,HIGH,0
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,LOW,4
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,MIDDLE,12
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,HIGH,2
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,LOW,0
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,MIDDLE,2
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,HIGH,17
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,LOW,17
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,MIDDLE,2
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,LOW,HIGH,0
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,LOW,2
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,MIDDLE,15
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,MIDDLE,HIGH,1
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,LOW,0
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,MIDDLE,1
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,HIGH,HIGH,18
