VARIABLE_NAME,VARIABLE_LABEL,LEVEL,FORMULA,ECONOMIC_CHANNEL,THEORETICAL_BASIS,RESEARCH_ROLE,EXPECTED_CPU_INTERACTION,MAIN_OR_SECONDARY,NOTES
LOG_ASSETS,Firm Size,Firm-Year,"ln(TOTAL_ASSETS)","Scale and financing capacity","Asset pricing and financing constraints","Control / heterogeneity","Ambiguous","MAIN","TOTAL_ASSETS must be positive"
LEVERAGE,Leverage,Firm-Year,"TOTAL_DEBT / TOTAL_ASSETS","Debt burden and refinancing sensitivity","Financing constraints and cost-of-capital channel","RQ2 mechanism","Negative","MAIN","Higher values imply greater financial vulnerability"
DEBT_TO_EQUITY,Debt-to-Equity,Firm-Year,"TOTAL_DEBT / STOCKHOLDERS_EQUITY","Balance-sheet fragility","Capital structure theory","Robustness mechanism","Negative","SECONDARY","Set missing when equity is non-positive or near zero"
EQUITY_RATIO,Equity Buffer,Firm-Year,"STOCKHOLDERS_EQUITY / TOTAL_ASSETS","Loss-absorption and financial resilience","Capital structure and resilience","RQ2 resilience mechanism","Positive","SECONDARY","Higher values indicate stronger capitalization"
CASH_RATIO,Cash-to-Assets,Firm-Year,"CASH_AND_EQUIVALENTS / TOTAL_ASSETS","Internal liquidity buffer","Financing constraints and precautionary cash","RQ2 resilience mechanism","Positive","MAIN","Expected to attenuate negative CPU sensitivity"
ROA,Return on Assets,Firm-Year,"NET_INCOME / TOTAL_ASSETS","Current profitability and internal funding capacity","Profitability and financing constraints","RQ2 resilience mechanism","Positive","MAIN","Use lagged accounting values"
OPERATING_PROFITABILITY,Operating Profitability,Firm-Year,"OPERATING_INCOME / TOTAL_ASSETS","Operating earnings capacity","Operating profitability and asset pricing","RQ2 resilience mechanism","Positive","SECONDARY","Useful when net income is affected by non-operating items"
OCF_TO_ASSETS,Operating Cash Flow Intensity,Firm-Year,"OPERATING_CASH_FLOW / TOTAL_ASSETS","Internal cash generation","Pecking-order theory and external finance dependence","RQ2 financing mechanism","Positive","MAIN","Core input for external finance dependence"
CAPEX_INTENSITY,Capital Expenditure Intensity,Firm-Year,"CAPEX / TOTAL_ASSETS","Irreversible investment exposure","Real options theory","RQ2 mechanism","Negative","MAIN","CAPEX reported as an outflow is converted to a positive investment amount"
RD_INTENSITY,R&D Intensity,Firm-Year,"R_AND_D / TOTAL_ASSETS","Innovation intensity and long-horizon investment","Real options and equity-duration channel","RQ2 mechanism","Negative","MAIN","Missing R&D is not automatically treated as zero in the baseline"
REVENUE_GROWTH,Revenue Growth,Firm-Year,"REVENUE_t / REVENUE_t-1 - 1","Growth opportunities and distant cash flows","Equity duration and growth valuation","RQ2 mechanism","Negative","MAIN","Requires valid consecutive annual observations"
ASSET_GROWTH,Asset Growth,Firm-Year,"TOTAL_ASSETS_t / TOTAL_ASSETS_t-1 - 1","Expansion and investment demand","Investment-based asset pricing","RQ2 mechanism","Negative","MAIN","Requires valid consecutive annual observations"
SALES_TO_ASSETS,Sales Efficiency,Firm-Year,"REVENUE / TOTAL_ASSETS","Operating efficiency and asset utilization","Operating efficiency","Robustness / control","Positive","SECONDARY","May vary materially across industries"
CAPEX_TO_OCF,Investment Funding Pressure,Firm-Year,"CAPEX / OPERATING_CASH_FLOW","Investment needs relative to internal cash generation","External finance dependence","RQ2 financing mechanism","Negative","SECONDARY","Undefined when operating cash flow is non-positive"
EXTERNAL_FINANCE_DEPENDENCE,External Finance Dependence,Firm-Year,"(CAPEX - OPERATING_CASH_FLOW) / TOTAL_ASSETS","Funding gap not covered by internal cash flow","Rajan-Zingales external finance channel","RQ2 primary mechanism","Negative","MAIN","Positive values indicate external financing needs"
FCF_TO_ASSETS,Free Cash Flow Capacity,Firm-Year,"(OPERATING_CASH_FLOW - CAPEX) / TOTAL_ASSETS","Financial flexibility after investment spending","Internal finance and resilience","RQ2 resilience mechanism","Positive","SECONDARY","Inverse economic interpretation of external financing pressure"
RD_MISSING_FLAG,R&D Disclosure Missing,Firm-Year,"1 if R_AND_D is missing; 0 otherwise","Disclosure and sector heterogeneity","Measurement control","Ambiguous","CONTROL","Allows the baseline to avoid treating missing R&D as zero"
WEIGHTED_LEVERAGE,Portfolio-Weighted Leverage,ETF-Date,"sum_j(weight_ijt * LEVERAGE_j,t-1)","Embedded debt exposure","Financing constraints","RQ1-RQ3","Negative","MAIN","Weights are normalized over firms with available characteristics"
WEIGHTED_CASH_RATIO,Portfolio-Weighted Cash Buffer,ETF-Date,"sum_j(weight_ijt * CASH_RATIO_j,t-1)","Embedded liquidity resilience","Precautionary cash and financing capacity","RQ1-RQ3","Positive","MAIN","Coverage rate must be reported"
WEIGHTED_ROA,Portfolio-Weighted Profitability,ETF-Date,"sum_j(weight_ijt * ROA_j,t-1)","Embedded profitability and internal funding","Profitability and resilience","RQ1-RQ3","Positive","MAIN","Coverage rate must be reported"
WEIGHTED_CAPEX_INTENSITY,Portfolio-Weighted CapEx Intensity,ETF-Date,"sum_j(weight_ijt * CAPEX_INTENSITY_j,t-1)","Embedded irreversible investment exposure","Real options","RQ1-RQ3","Negative","MAIN","Coverage rate must be reported"
WEIGHTED_RD_INTENSITY,Portfolio-Weighted R&D Intensity,ETF-Date,"sum_j(weight_ijt * RD_INTENSITY_j,t-1)","Embedded innovation and duration exposure","Real options and equity duration","RQ1-RQ3","Negative","MAIN","Baseline excludes missing R&D; zero-imputation only as robustness"
WEIGHTED_REVENUE_GROWTH,Portfolio-Weighted Revenue Growth,ETF-Date,"sum_j(weight_ijt * REVENUE_GROWTH_j,t-1)","Embedded growth exposure","Equity-duration channel","RQ1-RQ3","Negative","MAIN","Coverage rate must be reported"
