SHOCK,SHOCK_TYPE,HORIZON_MONTHS,DEPENDENT_VARIABLE,KEY_PARAMETER,FIXED_EFFECTS,STANDARD_ERRORS,INTERPRETATION
CPU_SHOCK,CONTINUOUS,1,ETF_RETURN_LEAD1,CPU_SHOCK × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_SHOCK,CONTINUOUS,3,CUM_RETURN_LEAD3,CPU_SHOCK × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_SHOCK,CONTINUOUS,6,CUM_RETURN_LEAD6,CPU_SHOCK × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_SHOCK,CONTINUOUS,12,CUM_RETURN_LEAD12,CPU_SHOCK × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
EXTREME_CPU_REGIME,BINARY,1,ETF_RETURN_LEAD1,EXTREME_CPU_REGIME × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
EXTREME_CPU_REGIME,BINARY,3,CUM_RETURN_LEAD3,EXTREME_CPU_REGIME × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
EXTREME_CPU_REGIME,BINARY,6,CUM_RETURN_LEAD6,EXTREME_CPU_REGIME × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
EXTREME_CPU_REGIME,BINARY,12,CUM_RETURN_LEAD12,EXTREME_CPU_REGIME × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_AND_VIX_STRESS,BINARY,1,ETF_RETURN_LEAD1,CPU_AND_VIX_STRESS × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_AND_VIX_STRESS,BINARY,3,CUM_RETURN_LEAD3,CPU_AND_VIX_STRESS × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_AND_VIX_STRESS,BINARY,6,CUM_RETURN_LEAD6,CPU_AND_VIX_STRESS × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
CPU_AND_VIX_STRESS,BINARY,12,CUM_RETURN_LEAD12,CPU_AND_VIX_STRESS × Portfolio Architecture,ETF fixed effects; alternative ETF and month fixed effects,"Date-clustered, ETF-clustered and two-way clustered",Tests whether embedded portfolio architecture predicts differential post-shock recovery.
