PAIR,CHANNEL_1,CHANNEL_2,SHOCK,HORIZON_MONTHS,MODEL_VARIANT,N_OBSERVATIONS,N_ETFS,N_DATES,INFERENCE_CLASS,FOCAL_CHANNEL,CONDITIONAL_ON,FOCAL_REGRESSOR,COVARIANCE_METHOD,DK_BANDWIDTH,CONDITION_NUMBER,PAIRWISE_ARCH_CORRELATION,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,HOLM_P_WITHIN_PROFILE,BH_Q_WITHIN_PROFILE
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DATE_CLUSTERED,0,52.65163668266635,0.8363973321159234,RELIABLE_ESTIMATE,0.00014218183137645196,0.0016996410584016592,0.08365403428778051,0.9334191145900271,-0.003210295552568533,0.003494659215321437,1.0,0.9334191145900271
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DATE_CLUSTERED,0,52.65163668266635,0.8363973321159234,RELIABLE_ESTIMATE,-0.0018794900116596376,0.0019140906217519204,-0.9819232121514635,0.32737982957478673,-0.005654961008035189,0.0018959809847159134,1.0,0.7670618054740382
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,PRIMARY_ALIGNED,952,13,191,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H1,1,52.53417502172502,0.8362182806172137,RELIABLE_ESTIMATE,-0.0011546166471331526,0.004053680258985112,-0.28483170190197116,0.7760833030380804,-0.009150615198803688,0.006841381904537382,1.0,0.840756911624587
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,PRIMARY_ALIGNED,952,13,191,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H1,1,52.53417502172502,0.8362182806172137,RELIABLE_ESTIMATE,-0.00503828336364316,0.0036387500198718967,-1.3846192610451802,0.1677927777132303,-0.012215820325098332,0.0021392535978120124,1.0,0.7670618054740382
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,PRIMARY_ALIGNED,939,13,190,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H2,2,52.824803340866325,0.8360351830014386,RELIABLE_ESTIMATE,-0.004840125953475666,0.005409875701186831,-0.894683394003642,0.3720943083872438,-0.015511620140177675,0.005831368233226344,1.0,0.4397478190031063
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,PRIMARY_ALIGNED,939,13,190,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H2,2,52.824803340866325,0.8360351830014386,RELIABLE_ESTIMATE,0.000737888789492491,0.004512442869532067,0.16352313166659746,0.8702812875194897,-0.00816333380966485,0.009639111388649833,1.0,0.8702812875194897
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H3,3,52.87782610402313,0.8358479120287355,RELIABLE_ESTIMATE,-0.007113935464233828,0.006359135842969919,-1.1186953133102742,0.2646975031924589,-0.019658365497445297,0.005430494568977641,1.0,0.34410675415019654
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H3,3,52.87782610402313,0.8358479120287355,RELIABLE_ESTIMATE,0.004094551713088674,0.007075726324954394,0.5786758171593168,0.56350055283064,-0.009863469629649103,0.018052573055826453,1.0,0.7722482495816468
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,4,PRIMARY_ALIGNED,913,13,188,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H4,4,52.88729428429296,0.8356563359921537,RELIABLE_ESTIMATE,-0.01167738854872446,0.007387939829816464,-1.5806014691127441,0.11565913267920123,-0.02625180672396114,0.0028970296265122195,0.8096139287544086,0.2147955321185166
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,4,PRIMARY_ALIGNED,913,13,188,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H4,4,52.88729428429296,0.8356563359921537,RELIABLE_ESTIMATE,0.00729010392108196,0.008886048001138331,0.8203988905020628,0.413033279870636,-0.010239678735124838,0.024819886577288758,1.0,0.7670618054740382
